"","city_origin","city_destination","origin_lat","origin_long","destin_lat","destin_long"
"1922","FORTPIERCE","NC/VABORDER",27.4467056,-80.3256056,NA,NA
"1923","NC/VABORDER","CHINCOTEAGUE",NA,NA,37.933179,-75.3788086
"1924","FORTPIERCE","NC/VABORDER",27.4467056,-80.3256056,NA,NA
"1925","NC/VABORDER","CHINCOTEAGUE",NA,NA,37.933179,-75.3788086
"1926","CHINCOTEAGUE","CAPEHENLOPEN",37.933179,-75.3788086,38.7856582,-75.1015963
"1927","SEBASTIANINLET","NC/VABORDER",27.860302,-80.4472737,NA,NA
"1928","NC/VABORDER","CHINCOTEAGUE",NA,NA,37.933179,-75.3788086
"1929","CHINCOTEAGUE","CAPEHENLOPEN",37.933179,-75.3788086,38.7856582,-75.1015963
"1930","TITUSVILLE","NC/VABORDER",28.6122187,-80.8075537,NA,NA
"1931","NC/VABORDER","CHINCOTEAGUE",NA,NA,37.933179,-75.3788086
"1932","CHINCOTEAGUE","SANDYHOOK",37.933179,-75.3788086,41.419961,-73.2773997
"1933","TITUSVILLE","NC/VABORDER",28.6122187,-80.8075537,NA,NA
"1934","NC/VABORDER","CHINCOTEAGUE",NA,NA,37.933179,-75.3788086
"1935","CHINCOTEAGUE","MONTAUKPOINT",37.933179,-75.3788086,41.0709284,-71.857205
"1936","FERNANDINABEACH","NC/VABORDER",30.6696818,-81.4625919,NA,NA
"1937","NC/VABORDER","CHINCOTEAGUE",NA,NA,37.933179,-75.3788086
"1938","CHINCOTEAGUE","MONTAUKPOINT",37.933179,-75.3788086,41.0709284,-71.857205
"1939","FERNANDINABEACH","CHINCOTEAGUE",30.6696818,-81.4625919,37.933179,-75.3788086
"1940","CHINCOTEAGUE","SANDYHOOK",37.933179,-75.3788086,41.419961,-73.2773997
"1941","SANDYHOOK","MERRIMACKRIVER",41.419961,-73.2773997,43.0300652,-71.2158794
"1942","FERNANDINABEACH","CHINCOTEAGUE",30.6696818,-81.4625919,37.933179,-75.3788086
"1943","CHINCOTEAGUE","SANDYHOOK",37.933179,-75.3788086,41.419961,-73.2773997
"1944","SANDYHOOK","MERRIMACKRIVER",41.419961,-73.2773997,43.0300652,-71.2158794
"1945","FERNANDINABEACH","CHINCOTEAGUE",30.6696818,-81.4625919,37.933179,-75.3788086
"1946","CHINCOTEAGUE","SANDYHOOK",37.933179,-75.3788086,41.419961,-73.2773997
"1947","SANDYHOOK","MERRIMACKRIVER",41.419961,-73.2773997,43.0300652,-71.2158794
"1948","EDISTOBEACH","CAPEHENLOPEN",32.4793551,-80.3348229,38.7856582,-75.1015963
"1949","CAPEHENLOPEN","PLYMOUTH",38.7856582,-75.1015963,41.9584457,-70.6672621
"1950","PLYMOUTH","MERRIMACKRIVER",41.9584457,-70.6672621,43.0300652,-71.2158794
"1951","EDISTOBEACH","CAPEHENLOPEN",32.4793551,-80.3348229,38.7856582,-75.1015963
"1952","CAPEHENLOPEN","PLYMOUTH",38.7856582,-75.1015963,41.9584457,-70.6672621
"1953","PLYMOUTH","MERRIMACKRIVER",41.9584457,-70.6672621,43.0300652,-71.2158794
"1954","EDISTOBEACH","CAPEHENLOPEN",32.4793551,-80.3348229,38.7856582,-75.1015963
"1955","CAPEHENLOPEN","PLYMOUTH",38.7856582,-75.1015963,41.9584457,-70.6672621
"1956","PLYMOUTH","MERRIMACKRIVER",41.9584457,-70.6672621,43.0300652,-71.2158794
"1957","EDISTOBEACH","MANASQUANINLET",32.4793551,-80.3348229,40.1020598,-74.033192
"1958","MORICHESINLET","PLYMOUTH",40.7662102,-72.7539888,41.9584457,-70.6672621
"1959","MANASQUANINLET","MORICHESINLET",40.1020598,-74.033192,40.7662102,-72.7539888
"1960","PLYMOUTH","MERRIMACKRIVER",41.9584457,-70.6672621,43.0300652,-71.2158794
"1961","SOUTHSANTEERIVER","MANASQUANINLET",33.3731318,-79.8065356,40.1020598,-74.033192
"1962","MORICHESINLET","PLYMOUTH",40.7662102,-72.7539888,41.9584457,-70.6672621
"1963","MANASQUANINLET","MORICHESINLET",40.1020598,-74.033192,40.7662102,-72.7539888
"1964","PLYMOUTH","MERRIMACKRIVER",41.9584457,-70.6672621,43.0300652,-71.2158794
"1965","SURFCITY","MANASQUANINLET",34.4251187,-77.5457512,40.1020598,-74.033192
"1966","MORICHESINLET","PLYMOUTH",40.7662102,-72.7539888,41.9584457,-70.6672621
"1967","MANASQUANINLET","MORICHESINLET",40.1020598,-74.033192,40.7662102,-72.7539888
"1968","PLYMOUTH","MERRIMACKRIVER",41.9584457,-70.6672621,43.0300652,-71.2158794
"1969","CAPEHATTERAS","MANASQUANINLET",35.24804,-75.5393155,40.1020598,-74.033192
"1970","MORICHESINLET","PLYMOUTH",40.7662102,-72.7539888,41.9584457,-70.6672621
"1971","MANASQUANINLET","MORICHESINLET",40.1020598,-74.033192,40.7662102,-72.7539888
"1972","PLYMOUTH","MERRIMACKRIVER",41.9584457,-70.6672621,43.0300652,-71.2158794
"1973","CAPECHARLES","MANASQUANINLET",37.267916,-76.0174336,40.1020598,-74.033192
"1974","MORICHESINLET","PLYMOUTH",40.7662102,-72.7539888,41.9584457,-70.6672621
"1975","MANASQUANINLET","MORICHESINLET",40.1020598,-74.033192,40.7662102,-72.7539888
"1976","PLYMOUTH","MERRIMACKRIVER",41.9584457,-70.6672621,43.0300652,-71.2158794
"1977","CAPECHARLES","MERRIMACKRIVER",37.267916,-76.0174336,43.0300652,-71.2158794
"1978","CAPECHARLES","MERRIMACKRIVER",37.267916,-76.0174336,43.0300652,-71.2158794
"1979","SANDYHOOK","MERRIMACKRIVER",41.419961,-73.2773997,43.0300652,-71.2158794
"1980","SANDYHOOK","MERRIMACKRIVER",41.419961,-73.2773997,43.0300652,-71.2158794
"1981","BONITABEACH","SUWANNEERIVER",26.3514726,-81.855088,30.0098906,-82.8789266
"1982","BONITABEACH","SUWANNEERIVER",26.3514726,-81.855088,30.0098906,-82.8789266
"1983","BONITABEACH","SUWANNEERIVER",26.3514726,-81.855088,30.0098906,-82.8789266
"1984","BONITABEACH","SUWANNEERIVER",26.3514726,-81.855088,30.0098906,-82.8789266
"1985","BONITABEACH","SUWANNEERIVER",26.3514726,-81.855088,30.0098906,-82.8789266
"1986","BONITABEACH","SUWANNEERIVER",26.3514726,-81.855088,30.0098906,-82.8789266
"1987","JUPITERINLET","FLAGLERBEACH",26.9443142,-80.0723599,29.4749754,-81.1270035
"1988","BONITABEACH","SUWANNEERIVER",26.3514726,-81.855088,30.0098906,-82.8789266
"1989","BONITABEACH","SUWANNEERIVER",26.3514726,-81.855088,30.0098906,-82.8789266
